Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
CO	Carbon Monoxide	115.27120180, 115.27120180	(1-0)	-5.01050	60.0	0.0000	0.0000	CDMS
H2O	Water	183.31008700, 183.31008700	3(1,3)-2(2,0)	-3.64630		136.1639	195.9097	JPL
CO	Carbon Monoxide	230.53800000, 230.53800000	(2-1)	-4.11970	70.	3.8450	5.5321	CDMS
CO	Carbon Monoxide	345.79598990, 345.79598990	(3-2)	-3.61180	70.00	11.5350	16.5962	CDMS
CO	Carbon Monoxide	461.04076820, 461.04076820	(4-3)	-3.26570	60.	23.0695	33.1917	CDMS
[CI]	Atomic Carbon	492.16065100, 492.16065100	(1-0)	-4.46570		0.0000	0.0000	CDMS
H2O	Water	556.93598770, 556.93598770	1(1,0)-1(0,1)	-0.81890		23.7944	34.2349	JPL
CO	Carbon Monoxide	576.26793050, 576.26793050	(5-4)	-3.01180		38.4481	55.3179	CDMS
CO	Carbon Monoxide	691.47307630, 691.47307630	(6-5)	-2.81930	100.	57.6704	82.9744	CDMS
H2O	Water	752.03314300, 752.03314300	2(1,1)-2(0,2)	-0.99850		70.0908	100.8452	JPL
CO	Carbon Monoxide	806.65180600, 806.65180600	(7-6)	-2.67160	110.	80.7354	116.1596	CDMS
[CI]	Atomic Carbon	809.34197000, 809.34197000	(2-1)	-3.98180		16.4167	23.6198	CDMS
CO	Carbon Monoxide	921.79970000, 921.79970000	(8-7)	-2.55900		107.6424	154.8725	CDMS
H2O	Water	987.92675900, 987.92675900	2(0,2)-1(1,1)	-1.13740		37.1371	53.4321	JPL
CO	Carbon Monoxide	1036.91239300, 1036.91239300	(9-8)	-2.47510	17.5	138.3904	199.1118	CDMS
H2O	Water	1097.36479000, 1097.36479000	3(1,2)-3(0,3)	-0.32220		136.7617	196.7698	JPL
H2O	Water	1113.34300700, 1113.34300700	1(1,1)-0(0,0)	-0.83960		0.0000	0.0000	JPL
H2O	Water	1153.12682100, 1153.12682100	3(1,2)-2(2,1)	-1.13190		134.9016	194.0936	JPL
H2O	Water	1228.78871900, 1228.78871900	2(2,0)-2(1,1)	-0.85490		95.1759	136.9371	JPL
[NII]	Atomic Nitrogen	1461.12640000, 1461.12640000	205um	-3.88450		0.0000	0.0000	CDMS
H2O	Water	1661.00763700, 1661.00763700	2(2,1)-2(1,2)	-0.27720		79.4964	114.3777	JPL
H2O	Water	1669.90477500, 1669.90477500	2(1,2)-1(0,1)	0.09740		23.7944	34.2349	JPL
H2O	Water	1716.76963300, 1716.76963300	3(0,3)-2(1,2)	0.06960		79.4964	114.3777	JPL
[CII]	Atomic Carbon	1900.53690000, 1900.53690000	158um	-3.31280		0.0000	0.0000	CDMS
H2O	Water	2164.13198000, 2164.13198000	3(1,3)-2(0,2)	-0.10940		70.0908	100.8452	JPL
[NII]	Atomic Nitrogen	2459.08280000, 2459.08280000	122um	-3.98400		48.7384	70.1241	CDMS
H2O	Water	2640.47381300, 2640.47381300	4(1,4)-3(0,3)	0.53030		136.7617	196.7698	JPL
H2O	Water	2773.97658800, 2773.97658800	2(2,1)-1(1,0)	0.46460		42.3717	60.9635	JPL
H2O	Water	2968.74865400, 2968.74865400	2(2,0)-1(1,1)	-0.03020		37.1371	53.4321	JPL
H2O	Water	3331.45837600, 3331.45837600	3(2,2)-2(1,1)	0.06410		95.1759	136.9371	JPL
[OIII]	Atomic Oxygen	3393.00624400, 3393.00624400	88um	0.00000		0.0000	0.0000	SLAIM
H2O	Water	3977.04648100, 3977.04648100	3(2,1)-2(1,2)	0.45120		79.4964	114.3777	JPL
H2O	Water	4456.62198400, 4456.62198400	3(3,0)-3(0,3)	-1.32830		136.7617	196.7698	JPL
H2O	Water	4468.56905000, 4468.56905000	3(3,1)-2(2,0)	0.35820		136.1639	195.9097	JPL
H2O	Water	4512.38412100, 4512.38412100	3(3,0)-2(2,1)	0.83980		134.9016	194.0936	JPL
[OI]	Atomic oxygen	4744.77749000, 4744.77749000	63um	-2.47470		0.0000	0.0000	JPL
[OIII]	Atomic Oxygen	5785.87958900, 5785.87958900	52um	0.00000		113.1785	162.8377	SLAIM
H2O	Water	6449.39111900, 6449.39111900	3(3,1)-2(0,2)	-1.49870		70.0908	100.8452	JPL
H2O	Water	7367.55654960, 7367.55654960	4(3,2)-3(0,3)	-0.48890		136.7617	196.7698	JPL
